4su_labelling,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Method,Molecule,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
no 4sU labelling,SRR8723850,RNA-Seq,302,766055314,PRJNA526921,SAMN11120133,308243599,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517056,GSM3669614,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669614,K562,SRP188374
60min 4sU,SRR8723851,RNA-Seq,302,556356782,PRJNA526921,SAMN11120132,221055453,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517057,GSM3669615,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669615,K562,SRP188374
60min 4sU,SRR8723852,RNA-Seq,302,871848934,PRJNA526921,SAMN11120131,349062936,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5517058,GSM3669616,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669616,K562,SRP188374
60min 4sU,SRR8723853,RNA-Seq,302,919287396,PRJNA526921,SAMN11120130,369539622,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517059,GSM3669617,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669617,K562,SRP188374
no 4sU labelling,SRR8723854,RNA-Seq,302,747131390,PRJNA526921,SAMN11120129,299295583,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5517060,GSM3669618,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669618,K562,SRP188374
no 4sU labelling,SRR8723855,RNA-Seq,302,782561728,PRJNA526921,SAMN11120128,312186390,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5517061,GSM3669619,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669619,K562,SRP188374
60min 4sU,SRR8723856,RNA-Seq,302,809735084,PRJNA526921,SAMN11120127,323744885,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5517062,GSM3669620,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669620,K562,SRP188374
60min 4sU,SRR8723857,RNA-Seq,302,768382828,PRJNA526921,SAMN11120126,311075614,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX5517063,GSM3669621,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669621,K562,SRP188374
60min 4sU,SRR8723858,RNA-Seq,302,717325500,PRJNA526921,SAMN11120125,287168016,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517064,GSM3669622,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669622,K562,SRP188374
60min 4sU,SRR8723859,RNA-Seq,302,902122622,PRJNA526921,SAMN11120124,361872982,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5517065,GSM3669623,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669623,K562,SRP188374
